f_grid,d_grid,pwm_izq,pwm_der
-0.0,-0.0,57.333333333333336,-16.0
-0.0,5.0,63.63235294117647,80.59803921568627
-0.0,10.0,78.6293049467752,81.75892298058861
-0.0,15.0,83.38986909504838,81.56061468412067
-0.0,20.0,90.62903225806451,71.25
-0.0,25.0,56.48,43.946666666666665
-0.0,30.0,67.32432432432432,29.594594594594593
-0.0,35.0,47.0,32.125
-0.0,40.0,85.91666666666667,58.583333333333336
-0.0,45.0,100.5,-70.5
-0.0,50.0,89.53191489361703,38.59574468085106
-0.0,55.0,84.75438596491227,27.350877192982455
-0.0,60.0,115.4186046511628,19.4031007751938
-0.0,65.0,126.44444444444444,31.555555555555557
-0.0,70.0,139.52380952380952,57.80952380952381
-0.0,75.0,117.6,51.6
-0.0,80.0,107.24324324324324,41.67567567567568
-0.0,85.0,94.4,-13.2
-0.0,90.0,-1.4285714285714286,10.0
-0.0,95.0,63.63157894736842,40.1578947368421
-0.0,100.0,86.95238095238095,24.857142857142858
-0.0,105.0,129.33333333333334,33.333333333333336
-0.0,110.0,160.0,6.0
-0.0,115.0,119.5,59.0
-0.0,130.0,137.5,62.5
-0.0,135.0,160.0,36.0
-0.0,140.0,150.0,-150.0
-0.0,145.0,160.0,6.0
-0.0,150.0,90.0,-2.0
-0.0,185.0,150.0,-150.0
-0.0,195.0,98.0,28.0
-0.0,210.0,112.0,-23.333333333333332
-0.0,215.0,180.0,-6.0
-0.0,220.0,179.0,21.0
-0.0,225.0,150.0,-150.0
-0.0,255.0,103.0,101.0
5.0,5.0,-84.46666666666667,132.06666666666666
5.0,10.0,-87.39285714285714,105.98809523809524
5.0,15.0,-70.02777777777777,115.77777777777777
5.0,20.0,-94.92307692307692,131.84615384615384
5.0,25.0,-94.0,134.0
5.0,30.0,4.0,114.0
5.0,35.0,-60.0,169.0
5.0,40.0,-150.0,150.0
5.0,60.0,138.0,53.333333333333336
5.0,65.0,56.0,114.0
5.0,80.0,61.0,105.0
5.0,85.0,60.0,110.0
5.0,90.0,-2.272727272727273,43.0
5.0,95.0,53.5,116.5
5.0,155.0,-150.0,150.0
5.0,195.0,26.0,56.0
5.0,305.0,-150.0,150.0
10.0,5.0,26.48,95.52
10.0,10.0,-13.123674911660778,88.75618374558304
10.0,15.0,-32.75403225806452,97.61693548387096
10.0,20.0,5.884615384615385,96.5
10.0,25.0,-34.0,123.4
10.0,30.0,-20.0,121.2
10.0,35.0,-20.0,139.6
10.0,45.0,-16.0,121.0
10.0,50.0,56.0,96.0
10.0,60.0,160.0,59.0
10.0,65.0,179.0,23.0
10.0,75.0,-119.5,153.5
10.0,85.0,-8.2,127.8
10.0,90.0,18.75,84.25
10.0,120.0,179.0,23.0
10.0,165.0,-150.0,150.0
10.0,195.0,26.0,56.0
10.0,215.0,-150.0,150.0
15.0,5.0,34.56140350877193,91.6842105263158
15.0,10.0,37.573891625615765,86.75615763546799
15.0,15.0,38.79094076655052,92.52613240418118
15.0,20.0,14.129032258064516,81.33333333333333
15.0,25.0,-24.75,113.53571428571429
15.0,30.0,7.857142857142857,114.14285714285714
15.0,35.0,-63.0,169.0
15.0,40.0,32.75,81.75
15.0,45.0,2.5,113.5
15.0,50.0,-127.5,155.0
15.0,55.0,-31.333333333333332,85.33333333333333
15.0,60.0,154.33333333333334,4.777777777777778
15.0,65.0,57.25,6.75
15.0,70.0,15.333333333333334,57.333333333333336
15.0,80.0,-47.0,110.0
15.0,85.0,40.0,8.0
15.0,90.0,-64.0,138.0
15.0,105.0,179.0,23.0
15.0,115.0,32.0,90.0
15.0,125.0,165.0,-9.0
15.0,285.0,180.0,12.0
15.0,310.0,-28.0,92.0
20.0,-0.0,36.5,83.5
20.0,5.0,34.89090909090909,100.63636363636364
20.0,10.0,54.290140845070425,86.77464788732394
20.0,15.0,58.16546762589928,98.36690647482014
20.0,20.0,27.784313725490197,123.0
20.0,25.0,16.333333333333332,56.28888888888889
20.0,30.0,6.666666666666667,59.46666666666667
20.0,35.0,-48.8,112.4
20.0,40.0,-11.666666666666666,63.666666666666664
20.0,45.0,-19.0,118.0
20.0,50.0,-78.0,130.5
20.0,55.0,36.285714285714285,75.14285714285714
20.0,60.0,72.91666666666667,39.083333333333336
20.0,65.0,9.222222222222221,43.888888888888886
20.0,70.0,84.0,20.666666666666668
20.0,75.0,-13.5,141.0
20.0,80.0,7.428571428571429,90.0
20.0,85.0,134.0,28.0
20.0,90.0,15.0,144.0
20.0,100.0,58.0,40.0
20.0,110.0,75.0,77.0
20.0,115.0,102.0,74.0
20.0,190.0,9.0,31.0
20.0,255.0,-2.0,90.0
20.0,285.0,180.0,12.0
25.0,5.0,46.02985074626866,89.01492537313433
25.0,10.0,60.44368600682594,87.29692832764505
25.0,15.0,57.04824561403509,74.83771929824562
25.0,20.0,34.7906976744186,101.86046511627907
25.0,25.0,58.5,68.21428571428571
25.0,30.0,7.666666666666667,80.33333333333333
25.0,40.0,61.0,73.0
25.0,45.0,67.91666666666667,51.916666666666664
25.0,50.0,62.93333333333333,71.06666666666666
25.0,55.0,56.0,80.0
25.0,60.0,74.1,71.5
25.0,65.0,33.0,89.0
25.0,75.0,34.5,108.5
25.0,85.0,45.0,77.0
25.0,95.0,57.0,93.0
25.0,105.0,111.0,65.0
25.0,140.0,120.0,60.0
25.0,145.0,43.0,79.0
25.0,210.0,111.0,65.0
30.0,5.0,43.42,90.48
30.0,10.0,68.56891495601172,88.12903225806451
30.0,15.0,82.57272727272728,88.77272727272727
30.0,20.0,81.13513513513513,67.02702702702703
30.0,25.0,70.86666666666666,60.2
30.0,30.0,113.83333333333333,13.166666666666666
30.0,35.0,78.75,59.25
30.0,40.0,-4.833333333333333,66.83333333333333
30.0,45.0,39.31707317073171,52.829268292682926
30.0,50.0,49.888888888888886,87.22222222222223
30.0,55.0,73.33333333333333,53.111111111111114
30.0,60.0,121.0909090909091,24.727272727272727
30.0,65.0,88.5,73.16666666666667
30.0,85.0,45.5,78.5
30.0,90.0,108.0,-30.0
30.0,100.0,87.2,66.4
30.0,110.0,78.0,60.0
30.0,135.0,-31.0,177.0
30.0,175.0,62.0,26.0
30.0,180.0,150.0,-150.0
30.0,205.0,67.0,75.0
30.0,335.0,-8.0,86.0
30.0,345.0,66.0,84.0
35.0,-0.0,14.5,11.5
35.0,5.0,33.39325842696629,57.10112359550562
35.0,10.0,60.28064516129032,84.1258064516129
35.0,15.0,83.4836956521739,78.82065217391305
35.0,20.0,96.52941176470588,93.82352941176471
35.0,25.0,133.5,-85.3
35.0,35.0,66.5,49.0
35.0,40.0,81.25,47.75
35.0,45.0,110.26666666666667,-6.266666666666667
35.0,50.0,73.25,8.65
35.0,55.0,82.66666666666667,42.333333333333336
35.0,60.0,78.82352941176471,31.88235294117647
35.0,65.0,84.85714285714286,19.142857142857142
35.0,70.0,102.0,48.0
35.0,80.0,64.0,78.0
35.0,85.0,43.42857142857143,19.428571428571427
35.0,95.0,128.0,52.0
35.0,105.0,88.0,-6.0
35.0,125.0,80.0,-2.0
35.0,135.0,67.0,75.0
35.0,180.0,64.0,66.0
35.0,270.0,91.0,-7.0
40.0,-0.0,80.875,37.125
40.0,5.0,52.92307692307692,87.25274725274726
40.0,10.0,68.00669642857143,79.88169642857143
40.0,15.0,82.78092783505154,87.77577319587628
40.0,20.0,93.81818181818181,86.06060606060606
40.0,25.0,86.46153846153847,74.0
40.0,30.0,95.5,93.5
40.0,35.0,71.25,49.75
40.0,40.0,56.142857142857146,69.57142857142857
40.0,45.0,-7.0,80.4
40.0,50.0,91.0,72.0
40.0,55.0,109.33333333333333,60.666666666666664
40.0,60.0,54.666666666666664,29.037037037037038
40.0,65.0,33.0,143.0
40.0,70.0,20.0,94.0
40.0,75.0,47.0,94.0
40.0,80.0,104.0,90.0
40.0,90.0,85.83333333333333,47.5
40.0,95.0,95.2,71.2
40.0,105.0,179.0,17.0
40.0,125.0,83.5,25.75
40.0,130.0,115.0,103.0
